NDC/NHRIC Labeler Code,Firm Name
80706,BONAJOUR
83576,"Overseas Pharmaceuticals, Ltd."
54154,Sigma-Aldrich Ireland Ltd.
83622,Lasart SRL
69955,Hanseler AG
64567,"Inke, S.A."
83698,"Xiamen Kang Zhongyuan Biotechnology Co., Ltd."
70591,"JINCOSTECH CO.,LTD"
83672,"LIFE STEALER Co., Ltd."
69383,Vital Laboratories Private Ltd
80671,"QUANZHOU AIWINA HYGIENE PRODUCTS CO.,LTD"
67630,"FUJIAN FUKANG PHARMACEUTICAL CO., LTD."
69629,SKIN M.D. KOREA
69386,Swemedeq AB
63148,APOLLO HEALTH AND BEAUTY CARE
83732,NEVER GO ALONE
70224,KOREAMEDICOS
83769,"Ningbo Hengyuan Chemical Technology Co., Ltd."
79580,ADISAN LABORATORIES PRIVATE LIMITED
83784,"Nanjing Nuouxin Biopharmaceutical Co., Ltd"
83804,"Shenzhen Shandian Jingling Technology Co., Ltd."
77872,"MYM Hidrominerales, S, de R.L. de C.V."
83806,"Dengfeng City Jucai Trading Co., LTD"
69434,"Zhejiang Yongtai Pharmaceutical Co., Ltd."
69424,"LEADERS COSMETICS CO.,LTD."
62422,Seripharm
46014,Excella GmbH & Co. KG
83854,Anthea Pharma Private Limited
84107,HEALTHTEX LIMITED
83871,IBP CORP CO. LTD.
70933,"Hyundai Bioscience Co., Ltd."
84013,BANGALORE PHARMACEUTICAL AND RESEARCH LABORATORY PRIVATE LIMITED
82099,"BANGAGAN COSMETICS CO.,LTD"
79202,"Europremier, S.A. de C.V."
84025,"Guangzhou Yanxi Biotechnology Co., Ltd"
84048,"Shenzhen Peruidaishi Technology Co., Ltd."
48142,CELTIC BIOTECH LIMITED
84019,"Shengnan (Guangzhou) Cosmetics Co., LTD"
84045,Zohar Kosher Limited
84023,"Shenzhen Yangan Technology Co., Ltd."
84095,"Shenzhen Suai Electronic Science & Technology Co., Ltd."
84074,Panacura Inc.
64918,Sterling SpA
77503,"INNOMAX Co., Ltd"
84105,"Merck Life Science Technologies (Nantong) Co., Ltd."
59695,NOBILUS ENT TOMASZ KOZLUK
78433,KOCKAR MAKINA KIMYA SANAYI VE TICARET ANONIM SIRKETI
82449,Steriscience Specialties Private Limited
67320,Ultratech India Limited
84198,"Guangzhou Su Mai Feng International Trading Co., Ltd."
84298,"Beijing Ilisya Technology Development Co.,Ltd."
84282,"Haotai Health Jisheng (Jilin) Biotechnology Co., Ltd."
84360,"Sichuan Longlife Pharmaceutical Co.,Ltd"
21703,"Nang Kuang Pharmaceutical Co., Ltd."
73514,JNC retail corp.
71346,THE OOZOO Co. Ltd
81488,"Kadesh Incoporation Co,Ltd"
71472,"JNG KOREA CO.,LTD."
82337,MEKSMAR DOGAL VE SAGLIKLI URUNLER IMALAT VE PAZARLAMA LIMITED SIRKETI
84369,"Shenzhen Rongxing Trading Co., Ltd."
78375,ARDERIN DISTILLERY LIMITED
84660,"Guangdong Ximonth Technology Co., Ltd."
84432,"Shenzhen Youbente E-commerce Co., Ltd"
84411,PRODUCTOS DE BIO OXIDACION ENERGETICA S.A.P.I. DE C.V.
